127.0.0.1 - - [12/Dec/2017:12:31:55 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [12/Dec/2017:12:32:00 +0530] "GET /OnlineQuiz/jsps/home.jsp HTTP/1.1" 200 2924
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/java.png HTTP/1.1" 200 51317
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/python.jpg HTTP/1.1" 200 40269
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/css/styles.css HTTP/1.1" 200 2296
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/javascript.png HTTP/1.1" 200 28461
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/sql-logo.png HTTP/1.1" 200 18783
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/css.jpg HTTP/1.1" 200 21136
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/php-logo.jpg HTTP/1.1" 200 82305
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/mongodb_logo.png HTTP/1.1" 200 228594
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/logo-linux.png HTTP/1.1" 200 42037
127.0.0.1 - - [12/Dec/2017:12:32:01 +0530] "GET /OnlineQuiz/images/background.jpg HTTP/1.1" 200 384275
127.0.0.1 - - [12/Dec/2017:12:32:12 +0530] "GET /OnlineQuiz/jsps/home.jsp HTTP/1.1" 200 2924
127.0.0.1 - - [12/Dec/2017:12:32:12 +0530] "GET /OnlineQuiz/css/styles.css HTTP/1.1" 200 2296
127.0.0.1 - - [12/Dec/2017:12:32:13 +0530] "GET /OnlineQuiz/images/sql-logo.png HTTP/1.1" 200 18783
127.0.0.1 - - [12/Dec/2017:12:32:13 +0530] "GET /OnlineQuiz/images/java.png HTTP/1.1" 200 51317
127.0.0.1 - - [12/Dec/2017:12:32:13 +0530] "GET /OnlineQuiz/images/javascript.png HTTP/1.1" 200 28461
127.0.0.1 - - [12/Dec/2017:12:32:13 +0530] "GET /OnlineQuiz/images/logo-linux.png HTTP/1.1" 200 42037
127.0.0.1 - - [12/Dec/2017:12:32:13 +0530] "GET /OnlineQuiz/images/python.jpg HTTP/1.1" 200 40269
127.0.0.1 - - [12/Dec/2017:12:32:13 +0530] "GET /OnlineQuiz/images/css.jpg HTTP/1.1" 200 21136
127.0.0.1 - - [12/Dec/2017:12:32:13 +0530] "GET /OnlineQuiz/images/mongodb_logo.png HTTP/1.1" 200 228594
127.0.0.1 - - [12/Dec/2017:12:32:13 +0530] "GET /OnlineQuiz/images/php-logo.jpg HTTP/1.1" 200 82305
127.0.0.1 - - [12/Dec/2017:12:32:53 +0530] "GET /OnlineQuiz/images/background.jpg HTTP/1.1" 200 384275
127.0.0.1 - - [12/Dec/2017:12:32:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [12/Dec/2017:12:32:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [12/Dec/2017:12:33:37 +0530] "GET /Demo/JSPS/HomeDemo.jsp HTTP/1.1" 200 1701
127.0.0.1 - - [12/Dec/2017:12:33:37 +0530] "GET /Demo/images/background.jpg HTTP/1.1" 404 1096
127.0.0.1 - - [12/Dec/2017:12:33:41 +0530] "GET /OnlineQuiz/jsps/home.jsp HTTP/1.1" 200 2924
127.0.0.1 - - [12/Dec/2017:12:53:05 +0530] "GET /Demo/JSPS/HomeDemo.jsp HTTP/1.1" 200 1702
127.0.0.1 - - [12/Dec/2017:12:53:05 +0530] "GET /Demo/images/background.jpg HTTP/1.1" 404 1096
127.0.0.1 - - [12/Dec/2017:12:53:07 +0530] "GET /Demo/JSPS/HomeDemo.jsp HTTP/1.1" 200 1702
127.0.0.1 - - [12/Dec/2017:12:53:07 +0530] "GET /Demo/images/background.jpg HTTP/1.1" 404 1096
127.0.0.1 - - [12/Dec/2017:12:54:04 +0530] "GET /Demo/JSPS/HomeDemo.jsp HTTP/1.1" 200 1759
127.0.0.1 - - [12/Dec/2017:12:54:04 +0530] "GET /Demo/images/background.jpg HTTP/1.1" 404 1096
127.0.0.1 - - [12/Dec/2017:12:56:52 +0530] "GET /Demo/JSPS/HomeDemo.jsp HTTP/1.1" 200 1757
127.0.0.1 - - [12/Dec/2017:12:56:52 +0530] "GET /Demo/images/background.jpg HTTP/1.1" 404 1096
