127.0.0.1 - - [05/Jan/2018:20:47:16 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [05/Jan/2018:20:47:20 +0530] "GET /AngularJS/dotNot.html HTTP/1.1" 200 364
127.0.0.1 - - [05/Jan/2018:20:47:20 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:47:20 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [05/Jan/2018:20:49:22 +0530] "GET /AngularJS/dotNot.html HTTP/1.1" 200 378
127.0.0.1 - - [05/Jan/2018:20:49:22 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [05/Jan/2018:20:49:22 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:49:22 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:49:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [05/Jan/2018:20:49:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [05/Jan/2018:20:55:16 +0530] "GET /AngularJS/dotNot.html HTTP/1.1" 200 371
127.0.0.1 - - [05/Jan/2018:20:55:17 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:55:17 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:55:17 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:56:22 +0530] "GET /AngularJS/dotNot.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:56:22 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:56:22 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:56:22 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:56:42 +0530] "GET /AngularJS/dotNot.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:56:42 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:56:42 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:56:42 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:57:53 +0530] "GET /AngularJS/dotNot.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:57:53 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:57:53 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:57:54 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:59:17 +0530] "GET /AngularJS/dotNot.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:59:17 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:59:17 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:59:17 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:59:18 +0530] "GET /AngularJS/dotNot.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:59:19 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jan/2018:20:59:19 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
127.0.0.1 - - [05/Jan/2018:20:59:19 +0530] "GET /AngularJS/JSPS/angularDemo2.js HTTP/1.1" 404 1100
