127.0.0.1 - - [05/Feb/2018:22:29:53 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [05/Feb/2018:22:29:57 +0530] "GET /AngularJS1/ng-bing.html HTTP/1.1" 200 304
127.0.0.1 - - [05/Feb/2018:22:29:57 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [05/Feb/2018:22:29:57 +0530] "GET /AngularJS1/JSPS/ng-show.js HTTP/1.1" 200 332
127.0.0.1 - - [05/Feb/2018:22:30:17 +0530] "GET /AngularJS1/ng-bing.html HTTP/1.1" 200 304
127.0.0.1 - - [05/Feb/2018:22:30:18 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [05/Feb/2018:22:30:18 +0530] "GET /AngularJS1/JSPS/ng-show.js HTTP/1.1" 200 332
127.0.0.1 - - [05/Feb/2018:22:30:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [05/Feb/2018:22:30:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [05/Feb/2018:22:42:25 +0530] "GET /AngularJS1/ng-bing.html HTTP/1.1" 200 314
127.0.0.1 - - [05/Feb/2018:22:42:25 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:42:25 +0530] "GET /AngularJS1/JSPS/ng-bind.js HTTP/1.1" 200 197
127.0.0.1 - - [05/Feb/2018:22:43:39 +0530] "GET /AngularJS1/ng-bing.html HTTP/1.1" 200 388
127.0.0.1 - - [05/Feb/2018:22:43:39 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:43:39 +0530] "GET /AngularJS1/JSPS/ng-bind.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:45:01 +0530] "GET /AngularJS1/ng-bing.html HTTP/1.1" 200 378
127.0.0.1 - - [05/Feb/2018:22:45:01 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:45:01 +0530] "GET /AngularJS1/JSPS/ng-bind.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:48:28 +0530] "GET /AngularJS1/ng-bing.html HTTP/1.1" 200 424
127.0.0.1 - - [05/Feb/2018:22:48:28 +0530] "GET /AngularJS1/JSPS/ng-bind.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:48:28 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:49:26 +0530] "GET /AngularJS1/ng-bing.html HTTP/1.1" 200 422
127.0.0.1 - - [05/Feb/2018:22:49:27 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:49:27 +0530] "GET /AngularJS1/JSPS/ng-bind.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:50:13 +0530] "GET /AngularJS1/ng-bing.html HTTP/1.1" 200 423
127.0.0.1 - - [05/Feb/2018:22:50:13 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2018:22:50:13 +0530] "GET /AngularJS1/JSPS/ng-bind.js HTTP/1.1" 304 -
