127.0.0.1 - - [05/Mar/2018:22:33:16 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [05/Mar/2018:22:33:19 +0530] "GET /AngularJS3/controllerDependancy.html HTTP/1.1" 200 850
127.0.0.1 - - [05/Mar/2018:22:33:19 +0530] "GET /AngularJS3/lib/angular-mocks.js HTTP/1.1" 200 122306
127.0.0.1 - - [05/Mar/2018:22:33:19 +0530] "GET /AngularJS3/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [05/Mar/2018:22:33:19 +0530] "GET /AngularJS3/JSPS/controllerDependancy.js HTTP/1.1" 200 1196
127.0.0.1 - - [05/Mar/2018:22:33:31 +0530] "GET /AngularJS3/controllerDependancy.html HTTP/1.1" 200 850
127.0.0.1 - - [05/Mar/2018:22:33:32 +0530] "GET /AngularJS3/lib/angular-mocks.js HTTP/1.1" 200 122306
127.0.0.1 - - [05/Mar/2018:22:33:32 +0530] "GET /AngularJS3/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [05/Mar/2018:22:33:32 +0530] "GET /AngularJS3/JSPS/controllerDependancy.js HTTP/1.1" 200 1196
127.0.0.1 - - [05/Mar/2018:22:33:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [05/Mar/2018:22:33:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [05/Mar/2018:22:46:14 +0530] "GET /AngularJS3/testingService.html HTTP/1.1" 200 839
127.0.0.1 - - [05/Mar/2018:22:46:15 +0530] "GET /AngularJS3/JSPS/testingService.js HTTP/1.1" 200 970
127.0.0.1 - - [05/Mar/2018:22:46:35 +0530] "GET /AngularJS3/testingService.html HTTP/1.1" 200 839
127.0.0.1 - - [05/Mar/2018:22:46:35 +0530] "GET /AngularJS3/JSPS/testingService.js HTTP/1.1" 200 970
127.0.0.1 - - [05/Mar/2018:23:07:50 +0530] "GET /AngularJS3/testingService.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:23:07:50 +0530] "GET /AngularJS3/JSPS/testingService.js HTTP/1.1" 200 974
127.0.0.1 - - [05/Mar/2018:23:08:00 +0530] "GET /AngularJS3/JSPS/testingService.js HTTP/1.1" 304 -
